"SamplePeriod","TriggerSample","CompressedData"
"0.00000001","5553230","True"
"SampleNumber","Reset","MISO","SCK","MOSI","SPI Example","MISO","SCK","MOSI","MOSI","SCK"
"10469468","1","0","0","0","","0","0","","0","0"
"10482648","1","0","1","0","","0","1","","0","1"
"10495898","1","0","0","0","","0","0","","0","0"
"10509078","1","0","1","0","","0","1","","0","1"
"10522327","1","0","0","0","","0","0","","0","0"
"10535508","1","0","1","0","","0","1","","0","1"
"10548758","1","0","0","0","","0","0","","0","0"
"10561938","1","0","1","0","","0","1","","0","1"
"10575188","1","0","0","0","","0","0","","0","0"
"10588368","1","0","1","0","","0","1","","0","1"
"10601618","1","0","0","0","","0","0","","0","0"
"10614798","1","0","1","0","","0","1","","0","1"
"10614801","1","1","1","0","","1","1","","0","1"
"10628081","1","1","0","0","","1","0","","0","0"
"10643061","1","1","1","0","","1","1","","0","1"
"10656344","1","1","0","0","80h","1","0","20h","0","0"
"10669525","1","1","1","0","","1","1","","0","1"
"10669528","1","0","1","0","","0","1","","0","1"
"10682774","1","0","0","0","","0","0","","0","0"
"10695955","1","0","1","0","","0","1","","0","1"
"10696088","1","0","1","1","","0","1","","1","1"
"10709271","1","0","0","1","","0","0","","1","0"
"10722302","1","0","0","0","","0","0","","0","0"
"10722451","1","0","1","0","","0","1","","0","1"
"10735701","1","0","0","0","","0","0","","0","0"
"10748881","1","0","1","0","","0","1","","0","1"
"10762131","1","0","0","0","","0","0","","0","0"
"10775311","1","0","1","0","","0","1","","0","1"
"10788561","1","0","0","0","","0","0","","0","0"
"10801741","1","0","1","0","","0","1","","0","1"
"10814991","1","0","0","0","","0","0","","0","0"
"10828171","1","0","1","0","","0","1","","0","1"
"10841421","1","0","0","0","","0","0","","0","0"
"10855460","1","0","1","0","","0","1","","0","1"
"10868709","1","0","0","0","20h","0","0","00h","0","0"
"10881890","1","0","1","0","","0","1","","0","1"
"10895139","1","0","0","0","","0","0","","0","0"
"10908320","1","0","1","0","","0","1","","0","1"
"10908323","1","1","1","0","","1","1","","0","1"
"10921602","1","1","0","0","","1","0","","0","0"
"10934783","1","1","1","0","","1","1","","0","1"
"10934786","1","0","1","0","","0","1","","0","1"
"10948032","1","0","0","0","","0","0","","0","0"
"10961213","1","0","1","0","","0","1","","0","1"
"10974463","1","0","0","0","","0","0","","0","0"
"10987643","1","0","1","0","","0","1","","0","1"
"11000892","1","0","0","0","","0","0","","0","0"
"11014073","1","0","1","0","","0","1","","0","1"
"11027322","1","0","0","0","","0","0","","0","0"
"11040503","1","0","1","0","","0","1","","0","1"
"11053752","1","0","0","0","","0","0","","0","0"
"11067791","1","0","1","0","","0","1","","0","1"
"11081041","1","0","0","0","","0","0","","0","0"
"11094221","1","0","1","0","","0","1","","0","1"
"11107471","1","0","0","0","","0","0","","0","0"
"11107477","1","0","0","0","","0","0","","0","0"
